gpi_ascat,percentage_match,lon,lat,soil_cat
820882.0,96.55667144906744,-8.368923,30.001425,mixed
820895.0,99.54519613416714,4.030144,30.001947,mixed
820916.0,99.35622317596567,-3.632901,30.00279,mixed
820971.0,98.94875164257556,-6.5599236,30.005001,mixed
821039.0,99.94646680942184,2.912121,30.007732,mixed
821060.0,99.48453608247422,-4.750924,30.008575,mixed
821115.0,99.66499162479062,-7.677947,30.010784,mixed
821128.0,99.93868792152054,4.7211204,30.011307,mixed
821149.0,99.54796584630839,-2.9419246,30.01215,mixed
821183.0,100.0,1.7940978,30.013515,mixed
821204.0,99.13101604278074,-5.8689475,30.01436,mixed
821259.0,95.50989345509893,-8.79597,30.01657,mixed
821272.0,99.94061757719714,3.6030972,30.017092,mixed
821348.0,98.9795918367347,-6.9869704,30.020144,mixed
821382.0,99.61352657004831,-2.2509482,30.021511,mixed
821416.0,99.79919678714859,2.485074,30.022877,mixed
821437.0,99.12060301507537,-5.177971,30.02372,mixed
821492.0,99.2526158445441,-8.104994,30.025928,mixed
821505.0,99.42429476108232,4.2940736,30.026451,mixed
821560.0,98.69674185463658,1.3670509,30.028662,mixed
821581.0,99.27583936800526,-6.2959943,30.029505,mixed
821636.0,90.0,-9.223017,30.031715,mixed
821649.0,99.89333333333333,3.1760504,30.032238,mixed
821670.0,99.01960784313725,-4.4869947,30.033081,mixed
821725.0,99.44482997918112,-7.414017,30.03529,mixed
821759.0,99.7459349593496,-2.677995,30.036657,mixed
821793.0,100.0,2.0580273,30.038023,mixed
821814.0,98.76314162028447,-5.6050177,30.038866,mixed
821869.0,94.82470784641069,-8.532041,30.041077,mixed
821882.0,99.60091220068415,3.8670268,30.0416,mixed
821903.0,98.98286937901499,-3.7960184,30.042442,mixed
821958.0,99.31129476584022,-6.723041,30.044653,mixed
822026.0,99.94450610432852,2.7490036,30.047384,mixed
822047.0,99.19447640966628,-4.9140415,30.04823,mixed
822102.0,99.51100244498778,-7.8410645,30.05044,mixed
822115.0,99.87212276214834,4.558003,30.05096,mixed
822136.0,99.24585218702866,-3.105042,30.051805,mixed
822191.0,98.8458927359131,-6.032065,30.054016,mixed
822246.0,95.04373177842565,-8.959087,30.056227,mixed
822259.0,99.67338051170387,3.43998,30.056747,mixed
822335.0,99.03647625602203,-7.150088,30.059803,mixed
822369.0,98.97383273473577,-2.4140656,30.061169,mixed
822403.0,99.79859013091641,2.3219566,30.062536,mixed
822424.0,99.38118811881188,-5.3410883,30.06338,mixed
822479.0,94.76702508960574,-8.268111,30.06559,mixed
822492.0,99.43181818181819,4.130956,30.066113,mixed
822513.0,99.23622476813966,-3.5320888,30.066956,mixed
822547.0,78.96326119778561,1.2039335,30.068323,mixed
822568.0,98.81889763779527,-6.4591117,30.069166,mixed
822636.0,99.9466097170315,3.012933,30.0719,mixed
822657.0,99.36998854524627,-4.650112,30.072744,mixed
822712.0,99.35483870967742,-7.5771346,30.074955,mixed
822725.0,99.93865030674847,4.821933,30.075478,mixed
822746.0,99.64841788046208,-2.8411124,30.07632,mixed
